3, 3, 3, 5, pa1-debug-a-CALREADINGS.TXT
-49.8, 0.2, 0.1
49.9, -0.1, 0.0
0.1, 49.8, 0.2
-24.9, -24.8, 25.1
25.1, -24.9, 25.0
0.0, 25.1, 25.2
-14.9, -14.8, 15.1
15.1, -14.9, 15.0
0.0, 15.1, 15.2
-50.1, -0.1, 0.2
50.2, 0.1, -0.1
-0.1, 50.1, -0.1
-25.1, -25.2, 24.9
24.9, -25.1, 24.8
0.1, 24.9, 24.9
-15.1, -15.2, 14.9
14.9, -15.1, 14.8
0.1, 14.9, 14.9
-49.9, 0.1, -0.1
50.0, -0.2, 0.1
0.2, 49.9, 0.1
-25.0, -25.1, 25.0
25.0, -25.0, 25.1
-0.1, 25.0, 25.1
-15.0, -15.1, 15.0
15.0, -15.0, 15.1
-0.1, 15.0, 15.1
-50.2, 0.0, -0.2
49.8, 0.2, 0.2
-0.2, 50.2, -0.2
-24.8, -24.9, 25.2
25.2, -24.8, 24.9
0.2, 24.8, 24.8
-14.8, -14.9, 15.2
15.2, -14.8, 14.9
0.2, 14.8, 14.8
-49.7, -0.2, 0.3
50.3, 0.3, -0.3
0.3, 49.7, 0.3
-24.7, -25.3, 25.3
25.3, -24.7, 25.3
-0.3, 24.7, 25.3
-14.7, -15.3, 15.3
15.3, -14.7, 15.3
-0.3, 14.7, 15.3
