3, 3, 5, pa1-debug-a-OPTPIVOT.TXT
-49.5, 0.5, 0.5
49.5, -0.5, -0.5
0.5, 49.5, 0.5
8.0, 3.5, -1.5
13.0, 3.5, -1.5
18.0, 3.5, -1.5
-49.0, 1.0, 1.0
49.0, -1.0, -1.0
1.0, 49.0, 1.0
7.5, 4.0, -1.0
12.5, 4.0, -1.0
17.5, 4.0, -1.0
-48.5, 1.5, 1.5
48.5, -1.5, -1.5
1.5, 48.5, 1.5
7.0, 4.5, -0.5
12.0, 4.5, -0.5
17.0, 4.5, -0.5
-48.0, 2.0, 2.0
48.0, -2.0, -2.0
2.0, 48.0, 2.0
6.5, 5.0, 0.0
11.5, 5.0, 0.0
16.5, 5.0, 0.0
-47.5, 2.5, 2.5
47.5, -2.5, -2.5
2.5, 47.5, 2.5
6.0, 5.5, 0.5
11.0, 5.5, 0.5
16.0, 5.5, 0.5
